post_id,text,sentiment,sentiment_label,timestamp,user,platform,hashtags,retweets,likes,country,year,month,day,hour
1, Enjoying a beautiful day at the park!              , Positive  ,Positive,2023-01-15 12:30:00.000000 UTC, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12
2, Traffic was terrible this morning.                 , Negative  ,Negative,2023-01-15 08:45:00.000000 UTC, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8
3, Just finished an amazing workout! 💪               , Positive  ,Positive,2023-01-15 15:45:00.000000 UTC, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15
4, Excited about the upcoming weekend getaway!        , Positive  ,Positive,2023-01-15 18:20:00.000000 UTC, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18
5, Trying out a new recipe for dinner tonight.        , Neutral   ,Neutral,2023-01-15 19:55:00.000000 UTC, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19
6, Feeling grateful for the little things in life.    , Positive  ,Positive,2023-01-16 09:10:00.000000 UTC, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9
7, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,Positive,2023-01-16 14:45:00.000000 UTC, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14
8, The new movie release is a must-watch!             , Positive  ,Positive,2023-01-16 19:30:00.000000 UTC, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19
9, Political discussions heating up on the timeline.  , Negative  ,Negative,2023-01-17 08:00:00.000000 UTC, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8
10, Missing summer vibes and beach days.               , Neutral   ,Neutral,2023-01-17 12:20:00.000000 UTC, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12
11, Just published a new blog post. Check it out!      , Positive  ,Positive,2023-01-17 15:15:00.000000 UTC, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15
12, Feeling a bit under the weather today.             , Negative  ,Negative,2023-01-18 10:30:00.000000 UTC, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10
13, Exploring the city's hidden gems.                  , Positive  ,Positive,2023-01-18 14:50:00.000000 UTC, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14
14," New year, new fitness goals! 💪                    ", Positive  ,Positive,2023-01-18 18:00:00.000000 UTC, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18
15, Technology is changing the way we live.            , Neutral   ,Neutral,2023-01-19 09:45:00.000000 UTC, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9
16, Reflecting on the past and looking ahead.          , Positive  ,Positive,2023-01-19 13:20:00.000000 UTC, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13
17, Just adopted a cute furry friend! 🐾              , Positive  ,Positive,2023-01-19 17:10:00.000000 UTC, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17
18, Late-night gaming session with friends.            , Positive  ,Positive,2023-01-20 00:05:00.000000 UTC, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0
19, Attending a virtual conference on AI.              , Neutral   ,Neutral,2023-01-20 11:30:00.000000 UTC, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11
20, Winter blues got me feeling low.                   , Negative  ,Negative,2023-01-20 15:15:00.000000 UTC, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15
21, Sipping coffee and enjoying a good book.           , Positive  ,Positive,2023-01-21 08:40:00.000000 UTC, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8
22, Exploring the world of virtual reality.            , Positive  ,Positive,2023-01-21 13:20:00.000000 UTC, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13
23, Productive day ticking off my to-do list.          , Positive  ,Positive,2023-01-21 16:45:00.000000 UTC, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16
24, Just finished a challenging workout routine.       , Positive  ,Positive,2023-01-22 09:15:00.000000 UTC, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9
25, Celebrating a milestone at work! 🎉               , Positive  ,Positive,2023-01-22 14:30:00.000000 UTC, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14
26, Sunday brunch with friends.                        , Positive  ,Positive,2023-01-22 12:00:00.000000 UTC, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12
27, Learning a new language for personal growth.       , Positive  ,Positive,2023-01-23 16:20:00.000000 UTC, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16
28, Quiet evening with a good book.                    , Positive  ,Positive,2023-01-23 19:45:00.000000 UTC, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19
29, Reflecting on the importance of mental health.     , Positive  ,Positive,2023-01-24 11:30:00.000000 UTC, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11
30, New painting in progress! 🎨                       , Positive  ,Positive,2023-01-24 15:00:00.000000 UTC, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15
31, Weekend road trip to explore scenic views.         , Positive  ,Positive,2023-01-24 17:30:00.000000 UTC, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17
32, Enjoying a cup of tea and watching the sunset.     , Positive  ,Positive,2023-01-25 18:00:00.000000 UTC, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18
33, Coding a new project with enthusiasm.              , Positive  ,Positive,2023-01-25 13:15:00.000000 UTC, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13
34, Feeling inspired after attending a workshop.       , Positive  ,Positive,2023-01-26 09:45:00.000000 UTC, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9
35, Winter sports day at the local park.               , Positive  ,Positive,2023-01-26 14:20:00.000000 UTC, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14
36, Quality time with family this weekend.             , Positive  ,Positive,2023-01-26 17:40:00.000000 UTC, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17
37, Attending a live music concert tonight.            , Positive  ,Positive,2023-01-27 20:00:00.000000 UTC, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20
38, Practicing mindfulness with meditation.            , Positive  ,Positive,2023-01-27 12:30:00.000000 UTC, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12
39, Trying out a new dessert recipe.                   , Positive  ,Positive,2023-01-27 16:10:00.000000 UTC, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16
40, Excited about the upcoming gaming tournament.      , Positive  ,Positive,2023-01-28 09:00:00.000000 UTC, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9
41, Planning a garden makeover for spring.             , Positive  ,Positive,2023-01-28 14:45:00.000000 UTC, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14
42, Celebrating a friend's birthday tonight! 🎂       , Positive  ,Positive,2023-01-28 19:30:00.000000 UTC, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19
43, Feeling accomplished after a productive day.       , Positive  ,Positive,2023-01-29 17:00:00.000000 UTC, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17
44, A cozy evening with a good movie.                 , Positive  ,Positive,2023-01-29 20:20:00.000000 UTC, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20
45, Exploring local art galleries this weekend.        , Positive  ,Positive,2023-01-30 11:30:00.000000 UTC, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11
46, New book release from my favorite author!          , Positive  ,Positive,2023-01-30 15:45:00.000000 UTC, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15
47, Attending a virtual reality meetup.                , Positive  ,Positive,2023-01-30 18:30:00.000000 UTC, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18
48, Reflecting on the beauty of nature.                , Positive  ,Positive,2023-01-31 10:45:00.000000 UTC, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10
49, Cooking a special dinner for loved ones.           , Positive  ,Positive,2023-01-31 19:00:00.000000 UTC, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19
50, Feeling optimistic about the week ahead.           , Positive  ,Positive,2023-01-31 16:20:00.000000 UTC, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16
51, Starting a new fitness challenge tomorrow! 💪     , Positive  ,Positive,2023-02-01 08:00:00.000000 UTC, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8
52, Sunday bike ride through scenic trails.           , Positive  ,Positive,2023-02-01 13:30:00.000000 UTC, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13
53, Can't believe the injustice happening in our society., Anger        ,Negative,2023-02-11 09:30:00.000000 UTC, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9
54, Feeling a sense of fear after watching a thriller movie. , Fear         ,Neutral,2023-02-11 21:15:00.000000 UTC, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21
