sentiment,cleaned_text
negative,cant believe injustice happening society
negative,fuming anger heated argument
negative,anxiety grips chest relentless grip thoughts
negative,anxiety grips heart worry clouds thoughts
negative,apprehensive steps tightrope uncertainty balancing act fall seems inevitable anxiety constant companion
negative,apprehensive whispers wind forecast uncertainty mind weather vane spinning wildly storm doubt
negative,bad day school everything seems going wrong
negative,received notsogreat grade major project academic frustration setting
negative,caught torrential rainstorm without umbrella today weather bad luck
negative,got flat tire way important meeting talk series bad events
negative,having bad hair day feeling selfconscious bad hair days can affect confidence
negative,having string bad luck constant technology malfunctions tech troubles galore
negative,wasteland lost trust echoes broken promises reverberate
negative,wandering maze betrayal walls closing every wrong turn
negative,betrayal venomous serpent slithering garden trust poisoning roots
negative,gallery broken promises shattered vow framed painful exhibition
negative,shattered betrayal trust crumbles fragile glass
negative,bitter experience turned valuable lesson
negative,bitter experience customer service department
negative,feeling bitter unfairness workplace
negative,bitterness festering venomous vine entwining soul web resentment poisoning garden peace
negative,bitterness bitter aftertaste lingering tongue word reminder wounds refuse heal passing time
negative,bitterness bitter chill air freezing moments icicles resentment dangle precariously over landscape memory
negative,bitterness poison seeping every crevice wounded heart
negative,bitterness betrayal taste lingers staining palate trust
negative,ran out snacks during movie marathon crisis level emergency movienightstruggles teenproblems
negative,boredom sets day feels endlessly dull
negative,boredom settles dust life feels mundane
negative,boredom lingers stagnant pool indifference
negative,darkness descends engulfing soul shadows despair
negative,shattered echoes shattered dream fragments hope scattered
negative,ruins hope echoes shattered dreams whisper tales loss
negative,garden broken dreams petals fall silent testimony shattered hopes
negative,wandering cemetery lost dreams tombstones marking untold sorrows
negative,drowning abyss despair heart shattered fragments lost echoing silence hopelessness
negative,despair heavy fog enveloping every thought blurring path ahead journey labyrinth utter hopelessness
negative,labyrinth despair echoes broken heart reverberate endlessly
negative,tapestry despair threads hope unravel leaving portrait sorrow
negative,sinking quicksand despair harder fight deeper descend
negative,midst soccer match unexpected own goal creates moment despair player teammates console encourage
negative,despair clouds mind feeling adrift endless sea darkness
negative,heartache deepens solitary journey abyss despair
negative,drowning despair hope slipping fingers
negative,suffering despair another setback
negative,sinking despair day darker than last
negative,desperation whispers silent plea glimmer hope abyss
negative,devastated storm betrayal wreckage trust scattered debris heart torn winds broken promises
negative,devastated revelation betrayal trust shattered fragile glass leaving shards pain wake
negative,devastated heart ruins echoes shattered dreams reverberating chambers requiem what once whole
negative,disappointed service local restaurant
negative,disappointed lack progress personal project
negative,soulcrushing disappointment hopes shattered fragile glass
negative,series defeats soccer team faces disappointment struggling find silver lining challenging season
negative,entered kitchen intention cook left bag chips cooking overrated anyway masterchefintraining teenhumor
negative,state world environment disgusting
negative,state corruption society utterly disgusting
negative,disgust sight injustice cruelty
negative,disgust corruption stains society
negative,dismissive glances fortress built indifference walls impenetrable pleas understanding recognition
negative,dismissive gestures curtain drawn shield vulnerability stage emotions take backseat performance indifference
negative,accidentally spilled paint art class abstract art right artclassadventures highschoolartist
negative,spent hours tiktok dance only realize two left feet dance fail unleashed
